Title,Year,imdbRating,Runtime,Awards,Awards_Count,Genre,Genre_Count
The Maltese Falcon,1941,7.9,100.0,Nominated for 3 Oscars. 8 wins & 4 nominations total,15,"Crime, Drama, Film-Noir",3
Raging Bull,1980,8.1,129.0,Won 2 Oscars. 24 wins & 28 nominations total,54,"Biography, Drama, Sport",3
E.T. the Extra-Terrestrial,1982,7.9,115.0,Won 4 Oscars. 52 wins & 39 nominations total,95,"Adventure, Family, Sci-Fi",3
Dr. Strangelove,2012,,,N/A,0,"Short, Comedy, Crime",3
Bonnie and Clyde,1967,7.7,111.0,Won 2 Oscars. 22 wins & 29 nominations total,53,"Action, Biography, Crime",3
Apocalypse Now,1979,8.4,147.0,Won 2 Oscars. 21 wins & 33 nominations total,56,"Drama, Mystery, War",3
Mr. Smith Goes to Washington,1939,8.1,129.0,Won 1 Oscar. 8 wins & 12 nominations total,21,"Comedy, Drama",2
The Treasure of the Sierra Madre,1948,8.2,126.0,Won 3 Oscars. 18 wins & 5 nominations total,26,"Adventure, Drama, Western",3
Annie Hall,1977,7.9,93.0,Won 4 Oscars. 32 wins & 9 nominations total,45,"Comedy, Romance",2
The Godfather Part II,1974,9.0,202.0,Won 6 Oscars. 17 wins & 21 nominations total,44,"Crime, Drama",2
High Noon,1952,7.9,85.0,Won 4 Oscars. 18 wins & 12 nominations total,34,"Drama, Thriller, Western",3
To Kill a Mockingbird,1962,8.2,129.0,Won 3 Oscars. 14 wins & 16 nominations total,33,"Crime, Drama",2
Rocky,1976,8.1,120.0,Won 3 Oscars. 23 wins & 23 nominations total,49,"Drama, Sport",2
The Silence of the Lambs,1991,8.6,118.0,Won 5 Oscars. 71 wins & 50 nominations total,126,"Crime, Drama, Horror",3
Network,1976,8.1,121.0,Won 4 Oscars. 20 wins & 27 nominations total,51,Drama,1
The Manchurian Candidate,2004,6.6,129.0,Nominated for 1 BAFTA Award1 win & 12 nominations total,13,"Drama, Mystery, Sci-Fi",3
American Graffiti,1973,7.4,110.0,Nominated for 5 Oscars. 9 wins & 13 nominations total,27,"Comedy, Drama",2
Raiders of the Lost Ark,1981,8.4,115.0,Won 4 Oscars. 41 wins & 24 nominations total,69,"Action, Adventure",2
Vertigo,1958,8.2,128.0,Nominated for 2 Oscars. 9 wins & 8 nominations total,19,"Mystery, Romance, Thriller",3
Tootsie,1982,7.4,116.0,Won 1 Oscar. 26 wins & 31 nominations total,58,"Comedy, Drama, Romance",3
Stagecoach,1939,7.8,96.0,Won 2 Oscars. 10 wins & 5 nominations total,17,"Adventure, Drama, Western",3
Close Encounters of the Third Kind,1977,7.6,138.0,Won 1 Oscar. 16 wins & 40 nominations total,57,"Drama, Sci-Fi",2
The Philadelphia Story,1940,7.8,112.0,Won 2 Oscars. 9 wins & 5 nominations total,16,"Comedy, Romance",2
Shane,1953,7.6,118.0,Won 1 Oscar. 8 wins & 13 nominations total,22,"Drama, Western",2
It Happened One Night,1934,8.1,105.0,Won 5 Oscars. 14 wins & 2 nominations total,21,"Comedy, Romance",2
A Streetcar Named Desire,1951,7.9,122.0,Won 4 Oscars. 22 wins & 15 nominations total,41,Drama,1
Rear Window,1954,8.5,112.0,Nominated for 4 Oscars. 7 wins & 14 nominations total,25,"Drama, Mystery, Thriller",3
Forrest Gump,1994,8.8,142.0,Won 6 Oscars. 51 wins & 74 nominations total,131,"Drama, Romance",2
The Shawshank Redemption,1994,9.3,142.0,Nominated for 7 Oscars. 21 wins & 42 nominations total,70,Drama,1
